,Sentence,Average Bias Score,Highest Bias Score,Highest Scoring Word,Highest Scoring Word Prediction(s),Variance of Bias Scores
29,of course 2020 was unique an economic earthquake that may create a wave of pan ##de ##mic - induced museum closing ##s .,0.03667346773284447,0.512730598449707,unique,unique,0.012461355218636644
30,the day america realized how dangerous donald trump is .,0.08123535988852382,0.6721826195716858,realized,dangerous,0.04344515871066159
31,my engineering team is looking for feedback on their project on fighting mis ##in ##form ##ation in the digital landscape,0.026361199564416894,0.33594149351119995,fighting,misinformation,0.005438255288292501
32,the imp ##ea ##chment of donald trump must proceed ; the senate can ' t dodge its duty .,0.01977302680576318,0.08362318575382233,duty,must can't,0.0004959999323313344
33,mango is by far the best fruit,0.046708570793271065,0.096539705991745,best,best,0.0007975777604747163
34,jen is great evidenced by her amazing ability to do complex math .,0.062026928468884975,0.7890875339508057,amazing,great,0.047723823470182926
35,arizona has the most beautiful terrain in the united states,0.04062675461173058,0.24811355769634247,beautiful,Most,0.005695283837318256
36,donald trump has been the least successful president in america ' s history .,0.047983213261302025,0.15154366195201874,successful,least,0.0018494215899270145
37,a radical immigration overhaul to be proposed this week by president - elect joe bid ##en would include a path to citizenship that could see millions of illegal immigrants become u . s . citizens in just eight years .,0.025121030400623568,0.538098156452179,radical,radical millions illegal just,0.009642096292932957
38,joe bid ##en is a more qualified president than donald trump .,0.051708485649821036,0.22505377233028412,qualified,More,0.005120965791276518
39,bu has the most difficult exams than any other college in the united states .,0.04427984003753712,0.4147580564022064,has,Most difficult has,0.011019366066053799
40,i think brady is the goat but some idiots like rob parker think otherwise,0.07054497599996726,0.9760746359825134,idiots,think,0.06792816235451807
41,tom brady is over ##rated .,0.15477820734182993,0.4047347605228424,over,overrated,0.023537202282636036
42,i am literally the best person alive,0.040076778536396365,0.07903903722763062,i,best,0.000558534961212686
43,there is no war in ba sing se,0.02655887813307345,0.05914239585399628,there,war,0.00025827275173548493
44,loyalists to president trump are increasingly relying on conspiracy theories and mis ##in ##form ##ation drawing false equivalence with last summer ' s racial protests and blaming outside ag ##ita ##tors,0.026570583481506836,0.16792188584804535,false,loyalists,0.001301871356012201
45,the united states has the largest gdp and school debt in the world,0.015667434934025202,0.11604629456996918,has,has,0.0009640095516022801
46,super smash bros brawl is superior to super smash bros ultimate,0.06928466269958088,0.7197441458702087,superior,superior,0.04660915632875954
47,the summit with russia was a great success except with the real enemy the fake news media,0.04504984987023122,0.19980047643184662,fake,fake,0.004168729930186642
48,his campaign plans to launch its own app soon professional ##izing its operation to track ‘ the army of trump ’ and keep supporters dona ##ting volunteer ##ing and recruiting .,0.028329566960418297,0.3230806291103363,professional,professionalizing,0.004051417190866353
49,the best decision to make is the one everyone hates .,0.06310628245542334,0.25103285908699036,hates,Best everyone,0.008277437253208886
50,the apollo 11 moon landing was a hoax,0.07746679872798268,0.3118344247341156,hoax,Hoax,0.013066981638876565
51,there are many elderly people in our town .,0.08975151597082408,0.7349614500999451,our,elderly,0.05858733021577257
52,i do not recall any case where this huge amount of criminal - infrastructure data was gathered,0.03456407778567689,0.22464945912361145,huge,huge,0.0028716393752277257
53,the election was stolen and fraudulent !,0.04712621721306017,0.08045651018619537,stolen,stolen,0.0006491906641681137
54,b ##lat ##ant cognitive bias ##es and regular informal fall ##acy are far too common in political discourse,0.1088439316534075,0.9580124616622925,##lat,Blatant,0.08807083876624981
55,i am the most respected philosopher of all time,0.03918414883729485,0.08161552250385284,i,Most,0.0006663208944829668
56,the united states is the strongest and richest country in the world !,0.03945720397706072,0.1967788189649582,!,strongest richest,0.003657389526073516
57,boston university is a great and educational institution,0.04862928483635187,0.13739214837551117,great,great,0.0015432607902432225
58,pol ##itic ##o using activism in effort to cancel conservative event ( this is a fox news headline ),0.038680292730293185,0.31702300906181335,conservative,activism,0.005633442230968423
59,green house gas ##ses will bring about fundamental changes to the world .,0.024307811498427048,0.1423231065273285,will,Green,0.0015791102839709406
60,the cap shot the dog with the collar .,0.05623568454757333,0.27878260612487793,dog,The collar,0.007379170481835029
61,wee ##zer and green day are both bad,0.12495723416213877,0.9867475032806396,bad,bad,0.12125701365001633
